start,end,file,Catharus guttatus_Hermit Thrush,Hylocichla mustelina_Wood Thrush,Piranga olivacea_Scarlet Tanager,Seiurus aurocapilla_Ovenbird,Turdus migratorius_American Robin,Sphyrapicus varius_Yellow-bellied Sapsucker,Poecile atricapillus_Black-capped Chickadee,Setophaga virens_Black-throated Green Warbler,Sitta canadensis_Red-breasted Nuthatch,Setophaga fusca_Blackburnian Warbler,Catharus fuscescens_Veery,Chaetura pelagica_Chimney Swift,Regulus satrapa_Golden-crowned Kinglet,Setophaga caerulescens_Black-throated Blue Warbler,Cyanocitta cristata_Blue Jay,Zonotrichia leucophrys_White-crowned Sparrow,Setophaga castanea_Bay-breasted Warbler,Dryocopus pileatus_Pileated Woodpecker,Pheucticus ludovicianus_Rose-breasted Grosbeak,Vireo flavifrons_Yellow-throated Vireo,Aegolius acadicus_Northern Saw-whet Owl
0.0,3.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_221000.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_215400.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_211100.WAV,0.728514552116394,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_211100.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_211100.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_211100.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_211100.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_211100.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_211100.WAV,0.48072803020477295,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_211100.WAV,0.7501792311668396,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_211100.WAV,0.7663479447364807,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_211100.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_211100.WAV,0.771121621131897,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_211100.WAV,0.8406146764755249,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_211100.WAV,0.6919809579849243,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_211100.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_211100.WAV,0.7593148350715637,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_211100.WAV,0.856968879699707,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_211100.WAV,0.613353431224823,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_211100.WAV,0.6516884565353394,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_211100.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_203100.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_215000.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_215000.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_215000.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_215000.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_215000.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_215000.WAV,,,,,,,,,,,,,,,,,,,,,
